iter	Passed	Remaining
784	3135	858
785	3140	854
786	3145	851
787	3150	847
788	3154	843
789	3158	839
790	3163	835
791	3168	832
792	3172	828
793	3177	824
794	3181	820
795	3186	816
796	3190	812
797	3196	809
798	3200	805
799	3204	801
800	3208	797
801	3213	793
802	3217	789
803	3221	785
804	3226	781
805	3230	777
806	3234	773
807	3239	769
808	3244	765
809	3248	761
810	3252	758
811	3257	754
812	3261	750
813	3266	746
814	3270	742
815	3275	738
816	3279	734
817	3283	730
818	3287	726
819	3292	722
820	3296	718
821	3300	714
822	3304	710
823	3309	706
824	3313	702
825	3317	698
826	3321	694
827	3326	690
828	3330	686
829	3334	682
830	3338	678
831	3343	675
832	3346	670
833	3350	666
834	3355	663
835	3359	659
836	3363	654
837	3367	650
838	3371	646
839	3376	643
840	3380	639
841	3384	635
842	3389	631
843	3393	627
844	3397	623
845	3401	619
846	3406	615
847	3410	611
848	3414	607
849	3418	603
850	3422	599
851	3426	595
852	3430	591
853	3435	587
854	3439	583
855	3443	579
856	3447	575
857	3451	571
858	3456	567
859	3460	563
860	3464	559
861	3469	555
862	3474	551
863	3478	547
864	3482	543
865	3487	539
866	3491	535
867	3495	531
868	3499	527
869	3504	523
870	3508	519
871	3512	515
872	3516	511
873	3520	507
874	3525	503
875	3529	499
876	3534	495
877	3538	491
878	3543	487
879	3547	483
880	3551	479
881	3555	475
882	3560	471
883	3564	467
884	3568	463
885	3572	459
886	3577	455
887	3581	451
888	3587	447
889	3592	444
890	3597	440
891	3601	436
892	3605	432
893	3610	428
894	3615	424
895	3619	420
896	3623	416
897	3628	412
898	3639	408
899	3645	405
900	3649	400
901	3652	396
902	3656	392
903	3660	388
904	3663	384
905	3668	380
906	3672	376
907	3677	372
908	3681	368
909	3686	364
910	3690	360
911	3694	356
912	3699	352
913	3703	348
914	3707	344
915	3711	340
916	3715	336
917	3719	332
918	3724	328
919	3730	324
920	3735	320
921	3740	316
922	3746	312
923	3751	308
924	3755	304
925	3760	300
926	3765	296
927	3769	292
928	3774	288
929	3778	284
930	3784	280
931	3788	276
932	3794	272
933	3799	268
934	3804	264
935	3810	260
936	3815	256
937	3820	252
938	3825	248
939	3830	244
940	3835	240
941	3840	236
942	3845	232
943	3850	228
944	3855	224
945	3860	220
946	3866	216
947	3870	212
948	3876	208
949	3881	204
950	3886	200
951	3892	196
952	3897	192
953	3902	188
954	3908	184
955	3912	180
956	3916	175
957	3921	171
958	3926	167
959	3930	163
960	3935	159
961	3940	155
962	3944	151
963	3949	147
964	3953	143
965	3958	139
966	3962	135
967	3966	131
968	3971	127
969	3976	122
970	3981	118
971	3985	114
972	3990	110
973	3994	106
974	3998	102
975	4003	98
976	4009	94
977	4014	90
978	4020	86
979	4025	82
980	4030	78
981	4037	74
982	4042	69
983	4047	65
984	4053	61
985	4058	57
986	4063	53
987	4071	49
988	4076	45
989	4081	41
990	4087	37
991	4091	32
992	4096	28
993	4102	24
994	4107	20
995	4112	16
996	4117	12
997	4122	8
998	4127	4
999	4132	0
